Timestamp,Melt temperature,Mold temperature,time_to_fill,ZDx - Plasticizing time,"""ZUx - Cycle time",SKx - Closing force,"""SKs - Clamping force peak value",Ms - Torque peak value current cycle,Mm - Torque mean value current cycle,APSs - Specific back pressure peak value,APVs - Specific injection pressure peak value,CPn - Screw position at the end of hold pressure,SVo - Shot volume,quality,Rand
3/18/2022 14:15,106.253,81.379,6.968,3.22,74.85,913.8,928.9,119,105,146.8,908,8.83,18.74,2,0.844672757
3/18/2022 14:16,106.276,81.325,6.968,3.24,74.83,909.7,926.7,113,103.6,146.1,912.8,8.77,18.8,2,0.713573918
3/18/2022 14:17,106.13,82.091,11.024,2.88,75.65,900.5,917.1,118.1,106.1,145.5,905.4,8.97,18.6,4,0.912494143
3/18/2022 14:18,106.326,81.374,6.968,3.28,74.81,916,934.6,117.8,102.2,147.1,903.3,8.75,18.82,2,0.747182574
3/18/2022 14:47,106.07,82.138,11.128,2.91,75.63,900.1,916,111.8,104.5,146,891.3,8.87,18.7,4,0.677808758
3/18/2022 14:47,105.505,81.343,6.968,3.22,74.82,879.5888493,896.8,107.3,106.5095813,145.8,920.2,8.82,18.75,1,0.673259261
3/18/2022 14:48,106.105,81.468,6.084,2.84,75.63,906,919.7,119.9,107.6,145.6,917,8.97,18.6,4,0.455110404
3/18/2022 14:49,106.132,82.067,11.232,2.86,75.63,902.5,920.3,116.9,107.7,146.4,912.6,8.9,18.67,4,0.834091877
3/18/2022 14:50,106.17,82.041,11.128,2.93,75.63,902.2,919.3,117.8,103.7,146.4,879,8.81,18.76,4,0.728904639
3/18/2022 14:51,106.142,81.976,10.504,2.86,75.65,901.2,918.8,114.5,105.8,145.1,911.5,9,18.57,4,0.325590114
3/18/2022 14:52,148.202,82.07,11.232,2.95,75.63,902,917.7,114.2,104.1,146,883.1,8.83,18.73,4,0.835140312
3/18/2022 14:53,106.006,81.035,7.124,3.19,74.82,909,922.3,114.8,105.3,145.7,930.6,8.79,18.77,1,0.087593254
